	Questions	Queries	Pairs	Masked Questions
10344	Count the number of wines produced at Robert Biale winery.	"SELECT count(*) FROM WINE WHERE Winery  =  ""Robert Biale"""	"/* Answer the following: Count the number of wines produced at Robert Biale winery. */
SELECT count(*) FROM WINE WHERE Winery  =  ""Robert Biale""
"	<mask> the number of wines produced at <mask> <mask> <mask>.
10345	How many appelations are in Napa Country?	"SELECT count(*) FROM APPELLATIONS WHERE County  =  ""Napa"""	"/* Answer the following: How many appelations are in Napa Country? */
SELECT count(*) FROM APPELLATIONS WHERE County  =  ""Napa""
"	How many appelations are in <mask> Country?
10346	Count the number of appelations in Napa County.	"SELECT count(*) FROM APPELLATIONS WHERE County  =  ""Napa"""	"/* Answer the following: Count the number of appelations in Napa County. */
SELECT count(*) FROM APPELLATIONS WHERE County  =  ""Napa""
"	<mask> the number of appelations in <mask> <mask>.
10359	What are the numbers of wines for different grapes?	SELECT count(*) ,  Grape FROM WINE GROUP BY Grape	"/* Answer the following: What are the numbers of wines for different grapes? */
SELECT count(*) ,  Grape FROM WINE GROUP BY Grape
"	What are the numbers of wines for different <mask>?
10360	How many wines are there for each grape?	SELECT count(*) ,  Grape FROM WINE GROUP BY Grape	"/* Answer the following: How many wines are there for each grape? */
SELECT count(*) ,  Grape FROM WINE GROUP BY Grape
"	How many wines are there for each <mask>?
10361	What are the average prices of wines for different years?	SELECT avg(Price) ,  YEAR FROM WINE GROUP BY YEAR	"/* Answer the following: What are the average prices of wines for different years? */
SELECT avg(Price) ,  YEAR FROM WINE GROUP BY YEAR
"	What are the average <mask> of wines for different years?
10362	What is the average prices of wines for each each?	SELECT avg(Price) ,  YEAR FROM WINE GROUP BY YEAR	"/* Answer the following: What is the average prices of wines for each each? */
SELECT avg(Price) ,  YEAR FROM WINE GROUP BY YEAR
"	What is the average <mask> of wines for each each?
10363	Find the distinct names of all wines that have prices higher than some wines from John Anthony winery.	"SELECT DISTINCT Name FROM WINE WHERE Price  >  (SELECT min(Price) FROM wine WHERE Winery  =  ""John Anthony"")"	"/* Answer the following: Find the distinct names of all wines that have prices higher than some wines from John Anthony winery. */
SELECT DISTINCT Name FROM WINE WHERE Price  >  (SELECT min(Price) FROM wine WHERE Winery  =  ""John Anthony"")
"	Find the distinct <mask> of all <mask> that have <mask> higher than some <mask> from <mask> <mask> <mask>.
10364	What are the distinct names of wines with prices higher than any wine from John Anthony winery.	"SELECT DISTINCT Name FROM WINE WHERE Price  >  (SELECT min(Price) FROM wine WHERE Winery  =  ""John Anthony"")"	"/* Answer the following: What are the distinct names of wines with prices higher than any wine from John Anthony winery. */
SELECT DISTINCT Name FROM WINE WHERE Price  >  (SELECT min(Price) FROM wine WHERE Winery  =  ""John Anthony"")
"	What are the distinct <mask> of <mask> with <mask> higher than any <mask> from <mask> <mask> <mask>.
10365	List the names of all distinct wines in alphabetical order.	SELECT DISTINCT Name FROM WINE ORDER BY Name	"/* Answer the following: List the names of all distinct wines in alphabetical order. */
SELECT DISTINCT Name FROM WINE ORDER BY Name
"	List the <mask> of all distinct wines in alphabetical order.
10366	What are the names of wines, sorted in alphabetical order?	SELECT DISTINCT Name FROM WINE ORDER BY Name	"/* Answer the following: What are the names of wines, sorted in alphabetical order? */
SELECT DISTINCT Name FROM WINE ORDER BY Name
"	What are the <mask> of wines, sorted in alphabetical order?
10367	List the names of all distinct wines ordered by price.	SELECT DISTINCT Name FROM WINE ORDER BY price	"/* Answer the following: List the names of all distinct wines ordered by price. */
SELECT DISTINCT Name FROM WINE ORDER BY price
"	List the <mask> of all distinct wines ordered by <mask>.
10368	What are the names of wines, sorted by price ascending?	SELECT DISTINCT Name FROM WINE ORDER BY price	"/* Answer the following: What are the names of wines, sorted by price ascending? */
SELECT DISTINCT Name FROM WINE ORDER BY price
"	What are the <mask> of wines, sorted by <mask> ascending?
10373	Find the distinct names of wines produced before the year of 2000 or after the year of 2010.	SELECT DISTINCT Name FROM WINE WHERE YEAR  <  2000 OR YEAR  >  2010	"/* Answer the following: Find the distinct names of wines produced before the year of 2000 or after the year of 2010. */
SELECT DISTINCT Name FROM WINE WHERE YEAR  <  2000 OR YEAR  >  2010
"	Find the distinct <mask> of wines produced before the year of 2000 or after the year of 2010.
10374	Give the distinct names of wines made before 2000 or after 2010.	SELECT DISTINCT Name FROM WINE WHERE YEAR  <  2000 OR YEAR  >  2010	"/* Answer the following: Give the distinct names of wines made before 2000 or after 2010. */
SELECT DISTINCT Name FROM WINE WHERE YEAR  <  2000 OR YEAR  >  2010
"	Give the distinct <mask> of wines made before 2000 or after 2010.
10375	Find the distinct winery of wines having price between 50 and 100.	SELECT DISTINCT Winery FROM WINE WHERE Price BETWEEN 50 AND 100	"/* Answer the following: Find the distinct winery of wines having price between 50 and 100. */
SELECT DISTINCT Winery FROM WINE WHERE Price BETWEEN 50 AND 100
"	Find the distinct <mask> of wines having <mask> between 50 and 100.
10376	What are the distinct wineries which produce wines costing between 50 and 100?	SELECT DISTINCT Winery FROM WINE WHERE Price BETWEEN 50 AND 100	"/* Answer the following: What are the distinct wineries which produce wines costing between 50 and 100? */
SELECT DISTINCT Winery FROM WINE WHERE Price BETWEEN 50 AND 100
"	What are the distinct wineries which produce wines costing between 50 and 100?
10377	What are the average prices and cases of wines produced in the year of 2009 and made of Zinfandel grape?	"SELECT AVG(Price) ,  AVG(Cases) FROM WINE WHERE YEAR  =  2009 AND Grape  =  ""Zinfandel"""	"/* Answer the following: What are the average prices and cases of wines produced in the year of 2009 and made of Zinfandel grape? */
SELECT AVG(Price) ,  AVG(Cases) FROM WINE WHERE YEAR  =  2009 AND Grape  =  ""Zinfandel""
"	What are the average <mask> and <mask> of wines produced in the year of 2009 and made of <mask> <mask>?
10378	Give the average price and case of wines made from Zinfandel grapes in the year 2009.	"SELECT AVG(Price) ,  AVG(Cases) FROM WINE WHERE YEAR  =  2009 AND Grape  =  ""Zinfandel"""	"/* Answer the following: Give the average price and case of wines made from Zinfandel grapes in the year 2009. */
SELECT AVG(Price) ,  AVG(Cases) FROM WINE WHERE YEAR  =  2009 AND Grape  =  ""Zinfandel""
"	Give the average <mask> and case of wines made from <mask> <mask> in the year 2009.
10379	What are the maximum price and score of wines produced by St. Helena appelation?	"SELECT max(Price) ,  max(Score) FROM WINE WHERE Appelation  =  ""St. Helena"""	"/* Answer the following: What are the maximum price and score of wines produced by St. Helena appelation? */
SELECT max(Price) ,  max(Score) FROM WINE WHERE Appelation  =  ""St. Helena""
"	What are the maximum <mask> and <mask> of wines produced by St. <mask> <mask>?
10380	Give the maximum price and score for wines produced in the appelation St. Helena.	"SELECT max(Price) ,  max(Score) FROM WINE WHERE Appelation  =  ""St. Helena"""	"/* Answer the following: Give the maximum price and score for wines produced in the appelation St. Helena. */
SELECT max(Price) ,  max(Score) FROM WINE WHERE Appelation  =  ""St. Helena""
"	Give the maximum <mask> and <mask> for wines produced in the <mask> St. <mask>.
10381	What are the maximum price and score of wines in each year?	SELECT max(Price) ,  max(Score) ,  YEAR FROM WINE GROUP BY YEAR	"/* Answer the following: What are the maximum price and score of wines in each year? */
SELECT max(Price) ,  max(Score) ,  YEAR FROM WINE GROUP BY YEAR
"	What are the maximum <mask> and <mask> of wines in each year?
10382	What are the maximum price and score of wines for each year?	SELECT max(Price) ,  max(Score) ,  YEAR FROM WINE GROUP BY YEAR	"/* Answer the following: What are the maximum price and score of wines for each year? */
SELECT max(Price) ,  max(Score) ,  YEAR FROM WINE GROUP BY YEAR
"	What are the maximum <mask> and <mask> of wines for each year?
10383	What are the average price and score of wines grouped by appelation?	SELECT avg(Price) ,  avg(Score) ,  Appelation FROM WINE GROUP BY Appelation	"/* Answer the following: What are the average price and score of wines grouped by appelation? */
SELECT avg(Price) ,  avg(Score) ,  Appelation FROM WINE GROUP BY Appelation
"	What are the average <mask> and <mask> of wines grouped by <mask>?
10384	What are the average price and score of wines for each appelation?	SELECT avg(Price) ,  avg(Score) ,  Appelation FROM WINE GROUP BY Appelation	"/* Answer the following: What are the average price and score of wines for each appelation? */
SELECT avg(Price) ,  avg(Score) ,  Appelation FROM WINE GROUP BY Appelation
"	What are the average <mask> and <mask> of wines for each <mask>?
10385	Find the wineries that have at least four wines.	SELECT Winery FROM WINE GROUP BY Winery HAVING count(*)  >=  4	"/* Answer the following: Find the wineries that have at least four wines. */
SELECT Winery FROM WINE GROUP BY Winery HAVING count(*)  >=  4
"	Find the wineries that have at least four wines.
10386	Which wineries produce at least four wines?	SELECT Winery FROM WINE GROUP BY Winery HAVING count(*)  >=  4	"/* Answer the following: Which wineries produce at least four wines? */
SELECT Winery FROM WINE GROUP BY Winery HAVING count(*)  >=  4
"	Which wineries produce at least four wines?
10389	What are the names of wines whose production year are before the year of all wines by Brander winery?	"SELECT Name FROM WINE WHERE YEAR  <  (SELECT min(YEAR) FROM WINE WHERE Winery  =  ""Brander"")"	"/* Answer the following: What are the names of wines whose production year are before the year of all wines by Brander winery? */
SELECT Name FROM WINE WHERE YEAR  <  (SELECT min(YEAR) FROM WINE WHERE Winery  =  ""Brander"")
"	What are the <mask> of wines whose production year are before the year of all wines by <mask> <mask>?
10390	What are the names of wines produced before any wine from the Brander winery?	"SELECT Name FROM WINE WHERE YEAR  <  (SELECT min(YEAR) FROM WINE WHERE Winery  =  ""Brander"")"	"/* Answer the following: What are the names of wines produced before any wine from the Brander winery? */
SELECT Name FROM WINE WHERE YEAR  <  (SELECT min(YEAR) FROM WINE WHERE Winery  =  ""Brander"")
"	What are the <mask> of wines produced before any wine from the <mask> <mask>?
10391	What are the names of wines that are more expensive then all wines made in the year 2006?	SELECT Name FROM WINE WHERE Price  >  (SELECT max(Price) FROM WINE WHERE YEAR  =  2006)	"/* Answer the following: What are the names of wines that are more expensive then all wines made in the year 2006? */
SELECT Name FROM WINE WHERE Price  >  (SELECT max(Price) FROM WINE WHERE YEAR  =  2006)
"	What are the <mask> of wines that are more expensive then all wines made in the year 2006?
10392	Give the names of wines with prices above any wine produced in 2006.	SELECT Name FROM WINE WHERE Price  >  (SELECT max(Price) FROM WINE WHERE YEAR  =  2006)	"/* Answer the following: Give the names of wines with prices above any wine produced in 2006. */
SELECT Name FROM WINE WHERE Price  >  (SELECT max(Price) FROM WINE WHERE YEAR  =  2006)
"	Give the <mask> of wines with <mask> above any wine produced in 2006.
10395	List the grape, winery and year of the wines whose price is bigger than 100 ordered by year.	SELECT Grape ,  Winery ,  YEAR FROM WINE WHERE Price  >   100 ORDER BY YEAR	"/* Answer the following: List the grape, winery and year of the wines whose price is bigger than 100 ordered by year. */
SELECT Grape ,  Winery ,  YEAR FROM WINE WHERE Price  >   100 ORDER BY YEAR
"	List the <mask>, <mask> and year of the wines whose <mask> is bigger than 100 ordered by year.
10396	What are the grapes, wineries and years for wines with price higher than 100, sorted by year?	SELECT Grape ,  Winery ,  YEAR FROM WINE WHERE Price  >   100 ORDER BY YEAR	"/* Answer the following: What are the grapes, wineries and years for wines with price higher than 100, sorted by year? */
SELECT Grape ,  Winery ,  YEAR FROM WINE WHERE Price  >   100 ORDER BY YEAR
"	What are the <mask>, wineries and years for wines with <mask> higher than 100, sorted by year?
10397	List the grape, appelation and name of wines whose score is higher than 93 ordered by Name.	SELECT Grape ,  Appelation ,  Name FROM WINE WHERE Score  >  93 ORDER BY Name	"/* Answer the following: List the grape, appelation and name of wines whose score is higher than 93 ordered by Name. */
SELECT Grape ,  Appelation ,  Name FROM WINE WHERE Score  >  93 ORDER BY Name
"	List the <mask>, <mask> and <mask> of wines whose <mask> is higher than 93 ordered by <mask>.
10398	What are the grapes, appelations, and wines with scores above 93, sorted by Name?	SELECT Grape ,  Appelation ,  Name FROM WINE WHERE Score  >  93 ORDER BY Name	"/* Answer the following: What are the grapes, appelations, and wines with scores above 93, sorted by Name? */
SELECT Grape ,  Appelation ,  Name FROM WINE WHERE Score  >  93 ORDER BY Name
"	What are the <mask>, <mask>, and wines with <mask> above 93, sorted by <mask>?
10399	Find the appelations that produce wines after the year of 2008 but not in Central Coast area.	"SELECT Appelation FROM WINE WHERE YEAR  >  2008 EXCEPT SELECT Appelation FROM APPELLATIONS WHERE Area  =  ""Central Coast"""	"/* Answer the following: Find the appelations that produce wines after the year of 2008 but not in Central Coast area. */
SELECT Appelation FROM WINE WHERE YEAR  >  2008 EXCEPT SELECT Appelation FROM APPELLATIONS WHERE Area  =  ""Central Coast""
"	Find the <mask> that produce wines after the year of 2008 but not in <mask> <mask> <mask>.
10400	What are the appelations for wines produced after 2008 but not in the Central Coast area?	"SELECT Appelation FROM WINE WHERE YEAR  >  2008 EXCEPT SELECT Appelation FROM APPELLATIONS WHERE Area  =  ""Central Coast"""	"/* Answer the following: What are the appelations for wines produced after 2008 but not in the Central Coast area? */
SELECT Appelation FROM WINE WHERE YEAR  >  2008 EXCEPT SELECT Appelation FROM APPELLATIONS WHERE Area  =  ""Central Coast""
"	What are the <mask> for wines produced after 2008 but not in the <mask> <mask> <mask>?
10405	How many train stations are there?	SELECT count(*) FROM station	"/* Answer the following: How many train stations are there? */
SELECT count(*) FROM station
"	How many train <mask> are there?
10406	Show the name, location, and number of platforms for all stations.	SELECT name ,  LOCATION ,  number_of_platforms FROM station	"/* Answer the following: Show the name, location, and number of platforms for all stations. */
SELECT name ,  LOCATION ,  number_of_platforms FROM station
"	Show the <mask>, location, and number of platforms for all <mask>.
10407	What are all locations of train stations?	SELECT DISTINCT LOCATION FROM station	"/* Answer the following: What are all locations of train stations? */
SELECT DISTINCT LOCATION FROM station
"	What are all locations of train <mask>?
10408	Show the names and total passengers for all train stations not in London.	SELECT name ,  total_passengers FROM station WHERE LOCATION != 'London'	"/* Answer the following: Show the names and total passengers for all train stations not in London. */
SELECT name ,  total_passengers FROM station WHERE LOCATION != 'London'
"	Show the <mask> and total passengers for all train <mask> not in London.
10409	Show the names and main services for train stations that have the top three total number of passengers.	SELECT name ,  main_services FROM station ORDER BY total_passengers DESC LIMIT 3	"/* Answer the following: Show the names and main services for train stations that have the top three total number of passengers. */
SELECT name ,  main_services FROM station ORDER BY total_passengers DESC LIMIT 3
"	Show the <mask> and main services for train <mask> that have the top three total number of passengers.
10410	What is the average and maximum number of total passengers for train stations in London or Glasgow?	SELECT avg(total_passengers) ,  max(total_passengers) FROM station WHERE LOCATION  =  'London' OR LOCATION  =  'Glasgow'	"/* Answer the following: What is the average and maximum number of total passengers for train stations in London or Glasgow? */
SELECT avg(total_passengers) ,  max(total_passengers) FROM station WHERE LOCATION  =  'London' OR LOCATION  =  'Glasgow'
"	What is the average and maximum number of total passengers for train <mask> in London or Glasgow?
10411	Show all locations and the total number of platforms and passengers for all train stations in each location.	SELECT LOCATION ,  sum(number_of_platforms) ,  sum(total_passengers) FROM station GROUP BY LOCATION	"/* Answer the following: Show all locations and the total number of platforms and passengers for all train stations in each location. */
SELECT LOCATION ,  sum(number_of_platforms) ,  sum(total_passengers) FROM station GROUP BY LOCATION
"	Show all locations and the total number of platforms and passengers for all train <mask> in each location.
10412	Show all locations that have train stations with at least 15 platforms and train stations with more than 25 total passengers.	SELECT DISTINCT LOCATION FROM station WHERE number_of_platforms  >=  15 AND total_passengers  >  25	"/* Answer the following: Show all locations that have train stations with at least 15 platforms and train stations with more than 25 total passengers. */
SELECT DISTINCT LOCATION FROM station WHERE number_of_platforms  >=  15 AND total_passengers  >  25
"	Show all locations that have train <mask> with at least 15 platforms and train <mask> with more than 25 total passengers.
10413	Show all locations which don't have a train station with at least 15 platforms.	SELECT LOCATION FROM station EXCEPT SELECT LOCATION FROM station WHERE number_of_platforms  >=  15	"/* Answer the following: Show all locations which don't have a train station with at least 15 platforms. */
SELECT LOCATION FROM station EXCEPT SELECT LOCATION FROM station WHERE number_of_platforms  >=  15
"	Show all locations which don't have a train <mask> with at least 15 platforms.
10414	Show the location with most number of train stations.	SELECT LOCATION FROM station GROUP BY LOCATION ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: Show the location with most number of train stations. */
SELECT LOCATION FROM station GROUP BY LOCATION ORDER BY count(*) DESC LIMIT 1
"	Show the location with most number of train <mask>.
10415	Show the name, time, and service for all trains.	SELECT name ,  TIME ,  service FROM train	"/* Answer the following: Show the name, time, and service for all trains. */
SELECT name ,  TIME ,  service FROM train
"	Show the <mask>, time, and <mask> for all <mask>.
10416	Show the number of trains	SELECT count(*) FROM train	"/* Answer the following: Show the number of trains */
SELECT count(*) FROM train
"	Show the number of <mask>
10417	Show the name and service for all trains in order by time.	SELECT name ,  service FROM train ORDER BY TIME	"/* Answer the following: Show the name and service for all trains in order by time. */
SELECT name ,  service FROM train ORDER BY TIME
"	Show the <mask> and <mask> for all <mask> in order by time.
10423	Show all locations with only 1 station.	SELECT LOCATION FROM station GROUP BY LOCATION HAVING count(*)  =  1	"/* Answer the following: Show all locations with only 1 station. */
SELECT LOCATION FROM station GROUP BY LOCATION HAVING count(*)  =  1
"	Show all locations with only 1 <mask>.
10424	Show station names without any trains.	SELECT name FROM station WHERE station_id NOT IN (SELECT station_id FROM train_station)	"/* Answer the following: Show station names without any trains. */
SELECT name FROM station WHERE station_id NOT IN (SELECT station_id FROM train_station)
"	Show <mask> <mask> without any trains.
10427	List the names and locations of all stations ordered by their yearly entry exit and interchange amounts.	SELECT name ,  LOCATION FROM station ORDER BY Annual_entry_exit ,  Annual_interchanges	"/* Answer the following: List the names and locations of all stations ordered by their yearly entry exit and interchange amounts. */
SELECT name ,  LOCATION FROM station ORDER BY Annual_entry_exit ,  Annual_interchanges
"	List the <mask> and locations of all <mask> ordered by their yearly entry exit and interchange amounts.
10428	List all vehicle id	SELECT vehicle_id FROM Vehicles;	"/* Answer the following: List all vehicle id */
SELECT vehicle_id FROM Vehicles;
"	List all vehicle id
10429	What are the ids of all vehicles?	SELECT vehicle_id FROM Vehicles;	"/* Answer the following: What are the ids of all vehicles? */
SELECT vehicle_id FROM Vehicles;
"	What are the ids of all <mask>?
10430	How many vehicle in total?	SELECT count(*) FROM Vehicles;	"/* Answer the following: How many vehicle in total? */
SELECT count(*) FROM Vehicles;
"	How many vehicle in total?
10431	How many vehicles exist?	SELECT count(*) FROM Vehicles;	"/* Answer the following: How many vehicles exist? */
SELECT count(*) FROM Vehicles;
"	How many <mask> exist?
10432	Show the detail of vehicle with id 1.	SELECT vehicle_details FROM Vehicles WHERE vehicle_id = 1;	"/* Answer the following: Show the detail of vehicle with id 1. */
SELECT vehicle_details FROM Vehicles WHERE vehicle_id = 1;
"	Show the detail of vehicle with id 1.
10433	What are the details of the car with id 1?	SELECT vehicle_details FROM Vehicles WHERE vehicle_id = 1;	"/* Answer the following: What are the details of the car with id 1? */
SELECT vehicle_details FROM Vehicles WHERE vehicle_id = 1;
"	What are the details of the car with id 1?
10434	List the first name middle name and last name of all staff.	SELECT first_name ,  middle_name ,  last_name FROM Staff;	"/* Answer the following: List the first name middle name and last name of all staff. */
SELECT first_name ,  middle_name ,  last_name FROM Staff;
"	List the first name middle name and last name of all <mask>.
10435	What are the first, middle, and last names of all staff?	SELECT first_name ,  middle_name ,  last_name FROM Staff;	"/* Answer the following: What are the first, middle, and last names of all staff? */
SELECT first_name ,  middle_name ,  last_name FROM Staff;
"	What are the first, middle, and last names of all <mask>?
10436	What is the birthday of the staff member with first name as Janessa and last name as Sawayn?	"SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";"	"/* Answer the following: What is the birthday of the staff member with first name as Janessa and last name as Sawayn? */
SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";
"	What is the birthday of the <mask> member with first name as <mask> and last name as <mask>?
10437	What is the date of birth for the staff member named Janessa Sawayn?	"SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";"	"/* Answer the following: What is the date of birth for the staff member named Janessa Sawayn? */
SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";
"	What is the date of birth for the <mask> member named <mask> <mask>?
10440	When did the staff member with first name as Janessa and last name as Sawayn leave the company?	"SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";"	"/* Answer the following: When did the staff member with first name as Janessa and last name as Sawayn leave the company? */
SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";
"	When did the <mask> member with first name as <mask> and last name as <mask> leave the company?
10441	When did the staff member Janessa Sawayn leave the company?	"SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";"	"/* Answer the following: When did the staff member Janessa Sawayn leave the company? */
SELECT date_left_staff FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";
"	When did the <mask> member <mask> <mask> leave the company?
10442	How many staff have the first name Ludie?	"SELECT count(*) FROM Staff WHERE first_name = ""Ludie"";"	"/* Answer the following: How many staff have the first name Ludie? */
SELECT count(*) FROM Staff WHERE first_name = ""Ludie"";
"	How many <mask> have the first name <mask>?
10443	How many employees have a first name of Ludie?	"SELECT count(*) FROM Staff WHERE first_name = ""Ludie"";"	"/* Answer the following: How many employees have a first name of Ludie? */
SELECT count(*) FROM Staff WHERE first_name = ""Ludie"";
"	How many employees have a first name of <mask>?
10444	What is the nickname of staff with first name as Janessa and last name as Sawayn?	"SELECT nickname FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";"	"/* Answer the following: What is the nickname of staff with first name as Janessa and last name as Sawayn? */
SELECT nickname FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";
"	What is the <mask> of <mask> with first name as <mask> and last name as <mask>?
10445	What is the nickname of the employee named Janessa Sawayn?	"SELECT nickname FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";"	"/* Answer the following: What is the nickname of the employee named Janessa Sawayn? */
SELECT nickname FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";
"	What is the <mask> of the employee named <mask> <mask>?
10446	How many staff in total?	SELECT count(*) FROM Staff;	"/* Answer the following: How many staff in total? */
SELECT count(*) FROM Staff;
"	How many <mask> in total?
10447	How many employees are there?	SELECT count(*) FROM Staff;	"/* Answer the following: How many employees are there? */
SELECT count(*) FROM Staff;
"	How many employees are there?
10456	How many staff live in state Georgia?	"SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";"	"/* Answer the following: How many staff live in state Georgia? */
SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";
"	How many staff live in state <mask>?
10457	How many employees live in Georgia?	"SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";"	"/* Answer the following: How many employees live in Georgia? */
SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";
"	How many employees live in <mask>?
10464	List the first name and last name of all customers.	SELECT first_name ,  last_name FROM Customers;	"/* Answer the following: List the first name and last name of all customers. */
SELECT first_name ,  last_name FROM Customers;
"	List the first name and last name of all <mask>.
10465	What are the first and last names for all customers?	SELECT first_name ,  last_name FROM Customers;	"/* Answer the following: What are the first and last names for all customers? */
SELECT first_name ,  last_name FROM Customers;
"	What are the first and last names for all <mask>?
10466	List email address and birthday of customer whose first name as Carole.	"SELECT email_address ,  date_of_birth FROM Customers WHERE first_name = ""Carole"""	"/* Answer the following: List email address and birthday of customer whose first name as Carole. */
SELECT email_address ,  date_of_birth FROM Customers WHERE first_name = ""Carole""
"	List email address and birthday of customer whose first name as <mask>.
10467	What are the email addresses and date of births for all customers who have a first name of Carole?	"SELECT email_address ,  date_of_birth FROM Customers WHERE first_name = ""Carole"""	"/* Answer the following: What are the email addresses and date of births for all customers who have a first name of Carole? */
SELECT email_address ,  date_of_birth FROM Customers WHERE first_name = ""Carole""
"	What are the email addresses and date of births for all <mask> who have a first name of <mask>?
10468	List phone number and email address of customer with more than 2000 outstanding balance.	SELECT phone_number ,  email_address FROM Customers WHERE amount_outstanding  >  2000;	"/* Answer the following: List phone number and email address of customer with more than 2000 outstanding balance. */
SELECT phone_number ,  email_address FROM Customers WHERE amount_outstanding  >  2000;
"	List phone number and email address of customer with more than 2000 outstanding balance.
10469	What are the phone numbers and email addresses of all customers who have an outstanding balance of more than 2000?	SELECT phone_number ,  email_address FROM Customers WHERE amount_outstanding  >  2000;	"/* Answer the following: What are the phone numbers and email addresses of all customers who have an outstanding balance of more than 2000? */
SELECT phone_number ,  email_address FROM Customers WHERE amount_outstanding  >  2000;
"	What are the phone numbers and email addresses of all <mask> who have an outstanding balance of more than 2000?
10470	What is the status code, mobile phone number and email address of customer with last name as Kohler or first name as Marina?	"SELECT customer_status_code ,  cell_mobile_phone_number ,  email_address FROM Customers WHERE first_name = ""Marina"" OR last_name  =  ""Kohler"""	"/* Answer the following: What is the status code, mobile phone number and email address of customer with last name as Kohler or first name as Marina? */
SELECT customer_status_code ,  cell_mobile_phone_number ,  email_address FROM Customers WHERE first_name = ""Marina"" OR last_name  =  ""Kohler""
"	What is the status code, mobile phone number and email address of customer with last name as <mask> or first name as <mask>?
10471	What is the status code, phone number, and email address of the customer whose last name is Kohler or whose first name is Marina?	"SELECT customer_status_code ,  cell_mobile_phone_number ,  email_address FROM Customers WHERE first_name = ""Marina"" OR last_name  =  ""Kohler"""	"/* Answer the following: What is the status code, phone number, and email address of the customer whose last name is Kohler or whose first name is Marina? */
SELECT customer_status_code ,  cell_mobile_phone_number ,  email_address FROM Customers WHERE first_name = ""Marina"" OR last_name  =  ""Kohler""
"	What is the status code, phone number, and email address of the customer whose last name is <mask> or whose first name is <mask>?
10472	When are the birthdays of customer who are classified as 'Good Customer' status?	SELECT date_of_birth FROM Customers WHERE customer_status_code  =  'Good Customer'	"/* Answer the following: When are the birthdays of customer who are classified as 'Good Customer' status? */
SELECT date_of_birth FROM Customers WHERE customer_status_code  =  'Good Customer'
"	When are the birthdays of <mask> who are classified as 'Good <mask>' status?
10473	What is the date of birth of every customer whose status code is 'Good Customer'?	SELECT date_of_birth FROM Customers WHERE customer_status_code  =  'Good Customer'	"/* Answer the following: What is the date of birth of every customer whose status code is 'Good Customer'? */
SELECT date_of_birth FROM Customers WHERE customer_status_code  =  'Good Customer'
"	What is the date of birth of every <mask> whose status code is 'Good <mask>'?
10474	When did customer with first name as Carole and last name as Bernhard became a customer?	"SELECT date_became_customer FROM Customers WHERE first_name = ""Carole"" AND last_name = ""Bernhard"";"	"/* Answer the following: When did customer with first name as Carole and last name as Bernhard became a customer? */
SELECT date_became_customer FROM Customers WHERE first_name = ""Carole"" AND last_name = ""Bernhard"";
"	When did customer with first name as <mask> and last name as <mask> became a customer?
10475	When did Carole Bernhard first become a customer?	"SELECT date_became_customer FROM Customers WHERE first_name = ""Carole"" AND last_name = ""Bernhard"";"	"/* Answer the following: When did Carole Bernhard first become a customer? */
SELECT date_became_customer FROM Customers WHERE first_name = ""Carole"" AND last_name = ""Bernhard"";
"	When did <mask> <mask> first become a customer?
10476	How many customers in total?	SELECT count(*) FROM Customers;	"/* Answer the following: How many customers in total? */
SELECT count(*) FROM Customers;
"	How many <mask> in total?
10477	How many customers are there?	SELECT count(*) FROM Customers;	"/* Answer the following: How many customers are there? */
SELECT count(*) FROM Customers;
"	How many <mask> are there?
10478	List all customer status codes and the number of customers having each status code.	SELECT customer_status_code , count(*) FROM Customers GROUP BY customer_status_code;	"/* Answer the following: List all customer status codes and the number of customers having each status code. */
SELECT customer_status_code , count(*) FROM Customers GROUP BY customer_status_code;
"	List all customer status codes and the number of <mask> having each status code.
10479	For each customer status code, how many customers are classified that way?	SELECT customer_status_code , count(*) FROM Customers GROUP BY customer_status_code;	"/* Answer the following: For each customer status code, how many customers are classified that way? */
SELECT customer_status_code , count(*) FROM Customers GROUP BY customer_status_code;
"	For each customer status code, how many <mask> are classified that way?
